:START_ID(Owner),:END_ID(Property),:TYPE,ownershipType,ownershipPercentage:float,startDate,endDate,acquisitionPrice:long,isCurrent:boolean,originalJointId,sourceSystem
ENT_006559,1001 0 1,OWNS,PRIMARY,100.0,1955-01-01,,0,True,,ASSESSOR
ENT_005442,1001 0 10,OWNS,PRIMARY,100.0,1983-07-01,,0,True,,ASSESSOR
ENT_002753,1001 0 10A,OWNS,PRIMARY,100.0,2016-06-17,,690000,True,,ASSESSOR
ENT_003886,1001 0 11,OWNS,PRIMARY,100.0,2017-07-31,,411000,True,,ASSESSOR
ENT_007823,1001 0 13,OWNS,PRIMARY,100.0,2018-12-18,,474000,True,,ASSESSOR
ENT_008593,1001 0 14,OWNS,PRIMARY,100.0,2004-04-28,,388900,True,,ASSESSOR
ENT_004103,1001 0 14A,OWNS,PRIMARY,100.0,2012-10-12,,1,True,,ASSESSOR
ENT_004286,1001 0 14B,OWNS,PRIMARY,100.0,2024-11-07,,670000,True,,ASSESSOR
ENT_000106,1001 0 151,OWNS,PRIMARY,100.0,2023-10-19,,850000,True,,ASSESSOR
ENT_010145,1001 0 152,OWNS,PRIMARY,100.0,2017-07-28,,909000,True,,ASSESSOR
ENT_004374,1001 0 153,OWNS,PRIMARY,100.0,2011-03-01,,1,True,,ASSESSOR
ENT_011079,1001 0 154,OWNS,PRIMARY,100.0,2018-03-22,,555000,True,,ASSESSOR
ENT_005287,1001 0 155,OWNS,PRIMARY,100.0,2017-02-10,,588000,True,,ASSESSOR
ENT_005287,1001 0 155A,OWNS,PRIMARY,100.0,2017-02-10,,588000,True,,ASSESSOR
ENT_000482,1001 0 156,OWNS,PRIMARY,100.0,2012-10-30,,1,True,,ASSESSOR
ENT_001692,1001 0 156A,OWNS,PRIMARY,100.0,2012-10-30,,1,True,,ASSESSOR
ENT_009558,1001 0 157,OWNS,PRIMARY,100.0,2018-10-30,,620000,True,,ASSESSOR
ENT_000049,1001 0 158,OWNS,PRIMARY,100.0,2003-08-22,,488400,True,,ASSESSOR
ENT_003711,1001 0 159,OWNS,PRIMARY,100.0,1974-07-17,,0,True,,ASSESSOR
ENT_002147,1001 0 15A,OWNS,PRIMARY,100.0,2022-02-24,,1,True,,ASSESSOR
ENT_005913,1001 0 15B,OWNS,PRIMARY,100.0,2011-12-16,,292500,True,,ASSESSOR
ENT_000405,1001 0 15C,OWNS,PRIMARY,100.0,2019-12-17,,485000,True,,ASSESSOR
ENT_004260,1001 0 15E,OWNS,PRIMARY,100.0,2021-08-10,,1,True,,ASSESSOR
ENT_000279,1001 0 15F,OWNS,PRIMARY,100.0,2021-09-27,,725000,True,,ASSESSOR
ENT_007578,1001 0 16,OWNS,PRIMARY,100.0,2021-09-17,,560000,True,,ASSESSOR
ENT_005589,1001 0 160,OWNS,PRIMARY,100.0,2017-10-11,,625000,True,,ASSESSOR
ENT_008479,1001 0 161,OWNS,PRIMARY,100.0,2011-03-31,,370000,True,,ASSESSOR
ENT_009930,1001 0 162,OWNS,PRIMARY,100.0,2017-06-30,,1,True,,ASSESSOR
ENT_001131,1001 0 164,OWNS,PRIMARY,100.0,2021-10-22,,100,True,,ASSESSOR
ENT_006993,1001 0 165,OWNS,PRIMARY,100.0,2009-07-24,,440000,True,,ASSESSOR
ENT_007917,1001 0 166,OWNS,PRIMARY,100.0,2020-06-04,,596000,True,,ASSESSOR
ENT_001414,1001 0 167,OWNS,PRIMARY,100.0,2013-11-14,,400000,True,,ASSESSOR
ENT_010302,1001 0 168,OWNS,PRIMARY,100.0,2007-07-19,,469000,True,,ASSESSOR
ENT_000733,1001 0 169,OWNS,PRIMARY,100.0,1992-12-14,,1,True,,ASSESSOR
ENT_007871,1001 0 16A,OWNS,PRIMARY,100.0,2002-02-12,,1,True,,ASSESSOR
ENT_001934,1001 0 17,OWNS,PRIMARY,100.0,2015-08-24,,375000,True,,ASSESSOR
ENT_004274,1001 0 170,OWNS,PRIMARY,100.0,2024-08-09,,630000,True,,ASSESSOR
ENT_000802,1001 0 171,OWNS,PRIMARY,100.0,2021-01-20,,1,True,,ASSESSOR
ENT_004702,1001 0 172,OWNS,PRIMARY,100.0,2016-01-22,,468000,True,,ASSESSOR
ENT_001250,1001 0 173,OWNS,PRIMARY,100.0,2010-04-28,,450000,True,,ASSESSOR
ENT_006759,1001 0 174,OWNS,PRIMARY,100.0,2006-02-14,,450000,True,,ASSESSOR
ENT_005288,1001 0 175,OWNS,PRIMARY,100.0,2024-02-02,,100,True,,ASSESSOR
ENT_007214,1001 0 176,OWNS,PRIMARY,100.0,2000-06-01,,310000,True,,ASSESSOR
ENT_011159,1001 0 177,OWNS,PRIMARY,100.0,2011-04-27,,735000,True,,ASSESSOR
ENT_000925,1001 0 178,OWNS,PRIMARY,100.0,2013-02-28,,770000,True,,ASSESSOR
ENT_001973,1001 0 18,OWNS,PRIMARY,100.0,2017-07-28,,479000,True,,ASSESSOR
ENT_008601,1001 0 180,OWNS,PRIMARY,100.0,2020-09-18,,100,True,,ASSESSOR
ENT_006890,1001 0 181,OWNS,PRIMARY,100.0,1987-07-10,,0,True,,ASSESSOR
ENT_011234,1001 0 182,OWNS,PRIMARY,100.0,2005-03-02,,475000,True,,ASSESSOR
ENT_010850,1001 0 183,OWNS,PRIMARY,100.0,2018-11-28,,1,True,,ASSESSOR
ENT_000190,1001 0 184,OWNS,PRIMARY,100.0,2022-03-29,,1,True,,ASSESSOR
ENT_009546,1001 0 185,OWNS,PRIMARY,100.0,2006-11-01,,540000,True,,ASSESSOR
ENT_008487,1001 0 186,OWNS,PRIMARY,100.0,2006-09-22,,635900,True,,ASSESSOR
ENT_001848,1001 0 187,OWNS,PRIMARY,100.0,1992-09-09,,218500,True,,ASSESSOR
ENT_003420,1001 0 19,OWNS,PRIMARY,100.0,2021-07-06,,435000,True,,ASSESSOR
ENT_002718,1001 0 190,OWNS,PRIMARY,100.0,2019-05-22,,1,True,,ASSESSOR
ENT_008698,1001 0 1A,OWNS,PRIMARY,100.0,2004-01-13,,100,True,,ASSESSOR
ENT_003943,1001 0 2,OWNS,PRIMARY,100.0,2004-01-13,,100,True,,ASSESSOR
ENT_005694,1001 0 20,OWNS,PRIMARY,100.0,2025-01-29,,10,True,,ASSESSOR
ENT_007734,1001 0 21,OWNS,PRIMARY,100.0,2005-08-19,,1,True,,ASSESSOR
ENT_002557,1001 0 22,OWNS,PRIMARY,100.0,2024-12-27,,827500,True,,ASSESSOR
ENT_003987,1001 0 23,OWNS,PRIMARY,100.0,2006-10-17,,250000,True,,ASSESSOR
ENT_010477,1001 0 24,OWNS,PRIMARY,100.0,2022-08-15,,545000,True,,ASSESSOR
ENT_008698,1001 0 2A,OWNS,PRIMARY,100.0,2004-01-13,,100,True,,ASSESSOR
ENT_008698,1001 0 2B,OWNS,PRIMARY,100.0,2004-01-13,,100,True,,ASSESSOR
ENT_006559,1001 0 3,OWNS,PRIMARY,100.0,1955-01-01,,0,True,,ASSESSOR
ENT_009373,1001 0 3A,OWNS,PRIMARY,100.0,1954-08-11,,0,True,,ASSESSOR
ENT_001395,1001 0 4,OWNS,PRIMARY,100.0,2014-08-28,,1,True,,ASSESSOR
ENT_007767,1001 0 4A,OWNS,PRIMARY,100.0,2011-02-02,,1,True,,ASSESSOR
ENT_011841,1001 0 4B,OWNS,PRIMARY,100.0,2023-10-05,,575100,True,,ASSESSOR
ENT_003456,1001 0 4C,OWNS,PRIMARY,100.0,2019-05-23,,464000,True,,ASSESSOR
ENT_005857,1001 0 4D,OWNS,PRIMARY,100.0,2010-05-27,,1,True,,ASSESSOR
ENT_008911,1001 0 5,OWNS,PRIMARY,100.0,2017-12-28,,550000,True,,ASSESSOR
ENT_012017,1001 0 6,OWNS,PRIMARY,100.0,2005-07-29,,400000,True,,ASSESSOR
ENT_009864,1001 0 6A,OWNS,PRIMARY,100.0,2006-06-30,,393000,True,,ASSESSOR
ENT_009304,1001 0 7,OWNS,PRIMARY,100.0,2012-02-10,,337000,True,,ASSESSOR
ENT_000457,1001 0 8,OWNS,PRIMARY,100.0,1978-11-17,,0,True,,ASSESSOR
ENT_006705,1001 0 9,OWNS,PRIMARY,100.0,1991-11-05,,1,True,,ASSESSOR
ENT_006472,1001 0 9A,OWNS,PRIMARY,100.0,2025-01-15,,10,True,,ASSESSOR
ENT_005011,1001 0 9B,OWNS,PRIMARY,100.0,1996-07-30,,240000,True,,ASSESSOR
ENT_002907,1002 0 1,OWNS,PRIMARY,100.0,2020-12-11,,673000,True,,ASSESSOR
ENT_011958,1002 0 10A,OWNS,PRIMARY,100.0,2008-01-14,,600000,True,,ASSESSOR
ENT_004868,1002 0 10B,OWNS,PRIMARY,100.0,1996-09-20,,309000,True,,ASSESSOR
ENT_000432,1002 0 10C,OWNS,PRIMARY,100.0,1996-04-29,,125000,True,,ASSESSOR
ENT_001862,1002 0 1A,OWNS,PRIMARY,100.0,2024-06-21,,650000,True,,ASSESSOR
ENT_004309,1002 0 1B,OWNS,PRIMARY,100.0,2024-10-10,,784900,True,,ASSESSOR
ENT_001840,1002 0 1C,OWNS,PRIMARY,100.0,2022-11-10,,1,True,,ASSESSOR
ENT_006343,1002 0 1F,OWNS,PRIMARY,100.0,2019-04-18,,100,True,,ASSESSOR
ENT_002239,1002 0 1G,OWNS,PRIMARY,100.0,2017-06-26,,670000,True,,ASSESSOR
ENT_000128,1002 0 2,OWNS,PRIMARY,100.0,2010-12-10,,100,True,,ASSESSOR
ENT_000114,1002 0 3,OWNS,PRIMARY,100.0,2016-01-14,,1,True,,ASSESSOR
ENT_004896,1002 0 4,OWNS,PRIMARY,100.0,2019-06-18,,1,True,,ASSESSOR
ENT_010602,1002 0 4A,OWNS,PRIMARY,100.0,2024-05-28,,830000,True,,ASSESSOR
ENT_001674,1002 0 5A,OWNS,PRIMARY,100.0,2006-11-09,,100,True,,ASSESSOR
ENT_010024,1002 0 5B,OWNS,PRIMARY,100.0,2018-11-23,,1,True,,ASSESSOR
ENT_002268,1002 0 5F,OWNS,PRIMARY,100.0,2021-08-06,,1100000,True,,ASSESSOR
ENT_008780,1002 0 5G,OWNS,PRIMARY,100.0,2006-11-09,,100,True,,ASSESSOR
ENT_000528,1002 0 6,OWNS,PRIMARY,100.0,2008-09-22,,0,True,,ASSESSOR
ENT_000528,1002 0 6A,OWNS,PRIMARY,100.0,2008-09-22,,0,True,,ASSESSOR
ENT_011095,1002 0 7A,OWNS,PRIMARY,100.0,2001-07-31,,239900,True,,ASSESSOR
ENT_010044,1002 0 7B,OWNS,PRIMARY,100.0,2020-11-24,,409000,True,,ASSESSOR
ENT_002039,1002 0 7C,OWNS,PRIMARY,100.0,2012-03-26,,100,True,,ASSESSOR
ENT_003026,1002 0 7D,OWNS,PRIMARY,100.0,2001-06-29,,212500,True,,ASSESSOR
ENT_008889,1002 0 7E,OWNS,PRIMARY,100.0,2017-01-27,,1,True,,ASSESSOR
ENT_002956,1002 0 7F,OWNS,PRIMARY,100.0,2017-01-31,,580000,True,,ASSESSOR
ENT_009165,1002 0 7H,OWNS,PRIMARY,100.0,1995-12-14,,139900,True,,ASSESSOR
ENT_000064,1002 0 7I,OWNS,PRIMARY,100.0,2017-10-18,,100,True,,ASSESSOR
ENT_002138,1002 0 7J,OWNS,PRIMARY,100.0,2017-12-11,,495000,True,,ASSESSOR
