relationship_id,:END_ID(Permit),:START_ID(Contractor),work_start_date,work_category,contract_value:long,contractor_role,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_CONT_1000013_1996888010.0,1000013,1996888010.0,2025-06-16,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.521371,WORKED_ON
PERMIT_CONT_1000016_3317603801.0,1000016,3317603801.0,2025-06-13,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.521718,WORKED_ON
PERMIT_CONT_1000017_545865738.0,1000017,545865738.0,2025-06-16,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.521824,WORKED_ON
PERMIT_CONT_1000022_110077031.0,1000022,110077031.0,2025-06-16,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522152,WORKED_ON
PERMIT_CONT_1000028_1206040084.0,1000028,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522541,WORKED_ON
PERMIT_CONT_1000029_1206040084.0,1000029,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522637,WORKED_ON
PERMIT_CONT_1000030_1206040084.0,1000030,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522732,WORKED_ON
PERMIT_CONT_1000031_1206040084.0,1000031,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522826,WORKED_ON
PERMIT_CONT_1000032_1206040084.0,1000032,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.522919,WORKED_ON
PERMIT_CONT_1000033_1206040084.0,1000033,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523014,WORKED_ON
PERMIT_CONT_1000034_1206040084.0,1000034,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523108,WORKED_ON
PERMIT_CONT_1000035_1206040084.0,1000035,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523202,WORKED_ON
PERMIT_CONT_1000036_1206040084.0,1000036,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523295,WORKED_ON
PERMIT_CONT_1000037_1206040084.0,1000037,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523387,WORKED_ON
PERMIT_CONT_1000039_1206040084.0,1000039,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523537,WORKED_ON
PERMIT_CONT_1000040_1206040084.0,1000040,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523630,WORKED_ON
PERMIT_CONT_1000041_1206040084.0,1000041,1206040084.0,2025-06-12,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.523722,WORKED_ON
PERMIT_CONT_1000047_3680887944.0,1000047,3680887944.0,2025-06-16,OTHER,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524086,WORKED_ON
PERMIT_CONT_1000048_3411826242.0,1000048,3411826242.0,2025-06-13,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524190,WORKED_ON
PERMIT_CONT_1000049_4227203484.0,1000049,4227203484.0,2025-06-11,ELECTRICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524296,WORKED_ON
PERMIT_CONT_1000056_2494079675.0,1000056,2494079675.0,2025-06-11,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524720,WORKED_ON
PERMIT_CONT_1000058_1702169519.0,1000058,1702169519.0,2025-06-11,PLUMBING,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524870,WORKED_ON
PERMIT_CONT_1000059_2432148709.0,1000059,2432148709.0,2025-06-12,MECHANICAL,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.524962,WORKED_ON
PERMIT_CONT_1000067_336298087.0,1000067,336298087.0,2025-06-11,INTERIOR,0,PRIMARY,PERFORMED_WORK,BUILDING_DEPT,2025-07-21T22:32:19.525435,WORKED_ON
