relationship_id,:START_ID(Permit),:END_ID(Property),issue_date,permit_type,estimated_cost:long,relationship_type,source_system,source_load_ts,:TYPE
PERMIT_PROP_1000000_3005 43 1,1000000,3005 43 1,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405204,ISSUED_FOR
PERMIT_PROP_1000001_3013 0 39B,1000001,3013 0 39B,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405339,ISSUED_FOR
PERMIT_PROP_1000002_3030 0 4,1000002,3030 0 4,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405450,ISSUED_FOR
PERMIT_PROP_1000003_3011 0 30,1000003,3011 0 30,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405555,ISSUED_FOR
PERMIT_PROP_1000004_1111 0 15,1000004,1111 0 15,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405658,ISSUED_FOR
PERMIT_PROP_1000005_3003 0 50,1000005,3003 0 50,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405761,ISSUED_FOR
PERMIT_PROP_1000006_2019 4 8,1000006,2019 4 8,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405862,ISSUED_FOR
PERMIT_PROP_1000007_2003 0 34,1000007,2003 0 34,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.405963,ISSUED_FOR
PERMIT_PROP_1000008_3030 0 1A,1000008,3030 0 1A,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406063,ISSUED_FOR
PERMIT_PROP_1000009_1087 0 9,1000009,1087 0 9,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406161,ISSUED_FOR
PERMIT_PROP_1000010_1045 0 45,1000010,1045 0 45,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406270,ISSUED_FOR
PERMIT_PROP_1000011_1076 0 26,1000011,1076 0 26,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406370,ISSUED_FOR
PERMIT_PROP_1000012_3041 0 169,1000012,3041 0 169,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406468,ISSUED_FOR
PERMIT_PROP_1000013_1059 0 5H,1000013,1059 0 5H,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406565,ISSUED_FOR
PERMIT_PROP_1000014_3004 0 13,1000014,3004 0 13,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406661,ISSUED_FOR
PERMIT_PROP_1000015_2048 0 2,1000015,2048 0 2,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406758,ISSUED_FOR
PERMIT_PROP_1000016_3023 0 22A,1000016,3023 0 22A,2025-06-13,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406855,ISSUED_FOR
PERMIT_PROP_1000017_2022 0 21,1000017,2022 0 21,2025-06-16,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.406953,ISSUED_FOR
PERMIT_PROP_1000018_1009 0 23,1000018,1009 0 23,,UNKNOWN,0,PERMIT_FOR,BUILDING_DEPT,2025-07-21T22:32:17.407050,ISSUED_FOR
