relationship_id,:START_ID(Property),:END_ID(Owner),ownership_type,start_date,acquisition_price:long,ownership_percentage,relationship_type,is_current,source_system,source_load_ts,:TYPE
OWN_1001 0 1_ENT_006559,1001 0 1,ENT_006559,PRIMARY,1955-01-01,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.020368,OWNS
OWN_1001 0 10_ENT_005442,1001 0 10,ENT_005442,PRIMARY,1983-07-01,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.025147,OWNS
OWN_1001 0 10A_ENT_002753,1001 0 10A,ENT_002753,PRIMARY,2016-06-17,690000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.029857,OWNS
OWN_1001 0 11_ENT_003886,1001 0 11,ENT_003886,PRIMARY,2017-07-31,411000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.034706,OWNS
OWN_1001 0 13_ENT_007823,1001 0 13,ENT_007823,PRIMARY,2018-12-18,474000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.039884,OWNS
OWN_1001 0 14_ENT_008593,1001 0 14,ENT_008593,PRIMARY,2004-04-28,388900.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.044714,OWNS
OWN_1001 0 14A_ENT_004103,1001 0 14A,ENT_004103,PRIMARY,2012-10-12,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.049452,OWNS
OWN_1001 0 14B_ENT_004286,1001 0 14B,ENT_004286,PRIMARY,2024-11-07,670000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.054254,OWNS
OWN_1001 0 151_ENT_000106,1001 0 151,ENT_000106,PRIMARY,2023-10-19,850000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.059065,OWNS
OWN_1001 0 152_ENT_010145,1001 0 152,ENT_010145,PRIMARY,2017-07-28,909000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.063619,OWNS
OWN_1001 0 153_ENT_004374,1001 0 153,ENT_004374,PRIMARY,2011-03-01,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.068510,OWNS
OWN_1001 0 154_ENT_011079,1001 0 154,ENT_011079,PRIMARY,2018-03-22,555000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.073049,OWNS
OWN_1001 0 155_ENT_005287,1001 0 155,ENT_005287,PRIMARY,2017-02-10,588000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.077634,OWNS
OWN_1001 0 155A_ENT_005287,1001 0 155A,ENT_005287,PRIMARY,2017-02-10,588000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.082177,OWNS
OWN_1001 0 156_ENT_000482,1001 0 156,ENT_000482,PRIMARY,2012-10-30,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.086800,OWNS
OWN_1001 0 156A_ENT_001692,1001 0 156A,ENT_001692,PRIMARY,2012-10-30,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.091336,OWNS
OWN_1001 0 157_ENT_009558,1001 0 157,ENT_009558,PRIMARY,2018-10-30,620000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.095785,OWNS
OWN_1001 0 158_ENT_000049,1001 0 158,ENT_000049,PRIMARY,2003-08-22,488400.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.100263,OWNS
OWN_1001 0 159_ENT_003711,1001 0 159,ENT_003711,PRIMARY,1974-07-17,0.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.104714,OWNS
OWN_1001 0 15A_ENT_002147,1001 0 15A,ENT_002147,PRIMARY,2022-02-24,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.109168,OWNS
OWN_1001 0 15B_ENT_005913,1001 0 15B,ENT_005913,PRIMARY,2011-12-16,292500.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.113701,OWNS
OWN_1001 0 15C_ENT_000405,1001 0 15C,ENT_000405,PRIMARY,2019-12-17,485000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.118241,OWNS
OWN_1001 0 15E_ENT_004260,1001 0 15E,ENT_004260,PRIMARY,2021-08-10,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.123221,OWNS
OWN_1001 0 15F_ENT_000279,1001 0 15F,ENT_000279,PRIMARY,2021-09-27,725000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.128019,OWNS
OWN_1001 0 16_ENT_007578,1001 0 16,ENT_007578,PRIMARY,2021-09-17,560000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.132742,OWNS
OWN_1001 0 160_ENT_005589,1001 0 160,ENT_005589,PRIMARY,2017-10-11,625000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.137950,OWNS
OWN_1001 0 161_ENT_008479,1001 0 161,ENT_008479,PRIMARY,2011-03-31,370000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.142718,OWNS
OWN_1001 0 162_ENT_009930,1001 0 162,ENT_009930,PRIMARY,2017-06-30,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.147769,OWNS
OWN_1001 0 164_ENT_001131,1001 0 164,ENT_001131,PRIMARY,2021-10-22,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.152992,OWNS
OWN_1001 0 165_ENT_006993,1001 0 165,ENT_006993,PRIMARY,2009-07-24,440000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.158502,OWNS
OWN_1001 0 166_ENT_007917,1001 0 166,ENT_007917,PRIMARY,2020-06-04,596000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.163119,OWNS
OWN_1001 0 167_ENT_001414,1001 0 167,ENT_001414,PRIMARY,2013-11-14,400000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.167776,OWNS
OWN_1001 0 168_ENT_010302,1001 0 168,ENT_010302,PRIMARY,2007-07-19,469000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.173361,OWNS
OWN_1001 0 169_ENT_000733,1001 0 169,ENT_000733,PRIMARY,1992-12-14,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.178266,OWNS
OWN_1001 0 16A_ENT_007871,1001 0 16A,ENT_007871,PRIMARY,2002-02-12,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.183032,OWNS
OWN_1001 0 17_ENT_001934,1001 0 17,ENT_001934,PRIMARY,2015-08-24,375000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.188128,OWNS
OWN_1001 0 170_ENT_004274,1001 0 170,ENT_004274,PRIMARY,2024-08-09,630000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.192659,OWNS
OWN_1001 0 171_ENT_000802,1001 0 171,ENT_000802,PRIMARY,2021-01-20,1.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.197198,OWNS
OWN_1001 0 172_ENT_004702,1001 0 172,ENT_004702,PRIMARY,2016-01-22,468000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.202027,OWNS
OWN_1001 0 173_ENT_001250,1001 0 173,ENT_001250,PRIMARY,2010-04-28,450000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.206597,OWNS
OWN_1001 0 174_ENT_006759,1001 0 174,ENT_006759,PRIMARY,2006-02-14,450000.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.211119,OWNS
OWN_1001 0 175_ENT_005288,1001 0 175,ENT_005288,PRIMARY,2024-02-02,100.0,100.0,OWNS,True,ASSESSOR,2025-07-21T22:31:14.215672,OWNS
