use_code_id:ID(UseCode),code,category,use_subcategory,description,is_residential:boolean,is_commercial:boolean,is_industrial,is_exempt,is_taxable,assessment_ratio,source_system,source_load_ts,:LABEL
101,101,RESIDENTIAL,SINGLE_FAMILY,Single Family Residential,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413236,UseCode
102,102,RESIDENTIAL,CONDOMINIUM,Condominium,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413247,UseCode
930,930,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 930,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413252,UseCode
104,104,RESIDENTIAL,TWO_FAMILY,Two Family Residential,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413256,UseCode
132,132,RESIDENTIAL,UNKNOWN_RESIDENTIAL,Residential Code 132,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413261,UseCode
340,340,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 340,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413265,UseCode
105,105,RESIDENTIAL,THREE_FAMILY,Three Family Residential,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413270,UseCode
900,900,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 900,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413277,UseCode
325,325,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 325,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413287,UseCode
337,337,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 337,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413291,UseCode
111,111,RESIDENTIAL,SINGLE_FAMILY,Residential 4-8 Units,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413295,UseCode
960,960,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 960,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413298,UseCode
401,401,INDUSTRIAL,MANUFACTURING,Manufacturing,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413302,UseCode
130,130,RESIDENTIAL,UNKNOWN_RESIDENTIAL,Residential Code 130,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413306,UseCode
131,131,RESIDENTIAL,UNKNOWN_RESIDENTIAL,Residential Code 131,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413313,UseCode
954,954,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 954,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413316,UseCode
343,343,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 343,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413320,UseCode
316,316,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 316,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413323,UseCode
13,13,OTHER,UNCLASSIFIED,Unclassified Code 13,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413330,UseCode
332,332,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 332,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413334,UseCode
326,326,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 326,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413337,UseCode
31,31,OTHER,UNCLASSIFIED,Unclassified Code 31,False,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413341,UseCode
112,112,RESIDENTIAL,MULTIFAMILY,Residential 9+ Units,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413345,UseCode
400,400,INDUSTRIAL,MANUFACTURING,Industrial - General,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413348,UseCode
442,442,INDUSTRIAL,UNKNOWN_INDUSTRIAL,Industrial Code 442,False,False,True,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413352,UseCode
109,109,RESIDENTIAL,MISC_RESIDENTIAL,Miscellaneous Residential,True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413356,UseCode
392,392,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 392,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413359,UseCode
934,934,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 934,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413363,UseCode
903,903,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 903,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413369,UseCode
330,330,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 330,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413372,UseCode
327,327,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 327,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413376,UseCode
106,106,RESIDENTIAL,MULTIFAMILY,Multifamily (4+ units),True,False,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413380,UseCode
390,390,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 390,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413383,UseCode
901,901,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 901,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413387,UseCode
341,341,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 341,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413391,UseCode
323,323,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 323,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413394,UseCode
970,970,EXEMPT,UNKNOWN_EXEMPT,Exempt Code 970,False,False,False,True,False,0.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413398,UseCode
391,391,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 391,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413401,UseCode
333,333,COMMERCIAL,UNKNOWN_COMMERCIAL,Commercial Code 333,False,True,False,False,True,1.0,MA_DOR_STANDARD,2025-07-21T22:25:43.413408,UseCode
